cellid,xarfcn,fc,signal,lat,lon,acc,speed,alt,rsrq,rssnr,ss,ta
5122562,66611,2127.5,-91,39.0615181,-94.5872132,13.7,0.1,251.7,-10,21.2,26,-1
5122562,66611,2127.5,-90,39.0615166,-94.5872078,12,0,251.7,-15,23.4,29,2
5122562,66611,2127.5,-90,39.0615164,-94.5872071,10.9,0,251.7,-15,23.4,29,2
5122562,66611,2127.5,-97,39.0615125,-94.5872077,12.6,0.1,251.7,-15,15.8,26,-1
5122562,66611,2127.5,-97,39.0615026,-94.5871968,14.3,0.3,247.4,-15,18,26,-1
5122562,66611,2127.5,-80,39.0615113,-94.5871771,16.4,0.5,247.4,-12,18.4,31,-1
5122562,66611,2127.5,-80,39.0615214,-94.5871679,17.7,0.2,250.4,-12,20,31,-1
5122562,66611,2127.5,-87,39.0614796,-94.5870705,19.5,1.1,247.4,-7,22.2,27,2
5122562,66611,2127.5,-87,39.0614814,-94.5870413,17.3,0.6,251.7,-7,19.8,27,2
5122562,66611,2127.5,-85,39.0615368,-94.58706,17.9,0.8,251.7,-13,27,30,-1
5122562,66611,2127.5,-85,39.0616267,-94.5870902,17.8,1,248.5,-13,17,30,-1
5122562,66611,2127.5,-83,39.0617537,-94.5870677,14.4,1.7,249.4,-11,22.6,31,-1
5122562,66611,2127.5,-84,39.0618585,-94.5870277,12.2,1,249.4,-11,14.4,30,2
5122562,66611,2127.5,-84,39.0619322,-94.5869978,11.8,1,251,-11,20,30,2
5122562,66611,2127.5,-80,39.0619864,-94.5869493,12.1,1,249.4,-11,19.4,31,-1
5122562,66611,2127.5,-80,39.0620303,-94.5869001,12.2,1,249.6,-11,20.6,31,-1
5122562,66611,2127.5,-82,39.0620503,-94.5868279,12.6,1,248.5,-11,16.6,31,-1
5122562,66611,2127.5,-82,39.0620662,-94.586763,13.3,0.9,248.5,-11,21.2,31,-1
5122562,66611,2127.5,-84,39.0620718,-94.5866937,16.2,0.9,248.5,-8,18.4,28,-1
5122562,66611,2127.5,-84,39.0620826,-94.586699,12.7,0.7,248.5,-8,18.4,28,-1
5122562,66611,2127.5,-91,39.0620738,-94.5866501,14.9,0.8,248.5,-11,18.4,26,-1
5122562,66611,2127.5,-91,39.0620629,-94.5865898,14.2,0.8,248.5,-11,18.4,26,-1
5122562,66611,2127.5,-85,39.0620618,-94.5865444,17.1,0.7,248.5,-12,27.2,30,-1
5122562,66611,2127.5,-85,39.0620981,-94.5864008,18.3,2.2,249.6,-12,23,30,-1
5122562,66611,2127.5,-90,39.0621104,-94.5863922,19.8,0.8,250.3,-14,16.4,29,3
